"idno";"cntry";"stratex1";"czy_50plus";"n_psu";"psu";"prob_psu";"prob_ind";"pop15_stratex1"
2;"Poland";65101;TRUE;10;100002;6,54690200597078e-05;1;152744
5;"Poland";11200;FALSE;23;13509;0,0110985647354284;0,00571428571;1371799
6;"Poland";90103;TRUE;10;100006;8,42658756909802e-05;1;118672
7;"Poland";71902;TRUE;12;100007;5,59086080620213e-05;1;214636
15;"Poland";56306;TRUE;4;100015;6,78725353785591e-05;1;58934
18;"Poland";84703;TRUE;11;100018;8,65719097763297e-05;1;127062
24;"Poland";79101;TRUE;13;100024;7,29812269828438e-05;1;178128
26;"Poland";11400;FALSE;27;12934;0,00309908085826034;0,01951219512;1537956
45;"Poland";11200;FALSE;23;12746;0,0119071744520765;0,00532623169;1371799
47;"Poland";11200;FALSE;23;13509;0,0110985647354284;0,00571428571;1371799
48;"Poland";11200;FALSE;23;13512;0,0126365087061826;0,00501882058;1371799
55;"Poland";32200;FALSE;2;31911;0,112938386704782;0,00042422314;83488
56;"Poland";12800;FALSE;8;15105;0,00234502251079369;0,02366863905;468439
62;"Poland";12200;FALSE;11;11909;0,0258669745521024;0,00216802168;606275
67;"Poland";12400;FALSE;16;12739;0,0976155454888873;0,00062982208;862063
69;"Poland";13000;FALSE;22;16317;0,00385658228036084;0,01538461538;1230364
78;"Poland";43000;FALSE;5;46309;0,236244127883156;0,0001626876;286205
82;"Poland";10600;FALSE;18;14315;0,00310163941918312;0,01913875598;960218
86;"Poland";52714;TRUE;4;100086;5,09242756021796e-05;1;78548
88;"Poland";50902;TRUE;3;100088;4,56107276431417e-05;1;65774
89;"Poland";11200;FALSE;23;18521;0,0167588327516429;0,00378429518;1371799
92;"Poland";23000;FALSE;4;20917;0,0649738062047917;0,00075886928;243375
101;"Poland";11200;FALSE;23;18517;0,0225459415065244;0,00281293952;1371799
102;"Poland";89301;TRUE;12;100102;6,90850263962372e-05;1;173699
106;"Poland";12800;FALSE;8;15112;0,00278905044226099;0,01990049751;468439
110;"Poland";10400;FALSE;9;19106;0,00375803422603349;0,01632653061;668235
113;"Poland";40800;FALSE;2;49703;0,534059910511763;0,0001216508;107744
117;"Poland";50119;TRUE;4;100117;8,29668962084129e-05;1;48212
119;"Poland";12400;FALSE;16;12931;0,00370419563253797;0,01659751037;862063
128;"Poland";12400;FALSE;16;12737;0,0565005109763484;0,00108813928;862063
139;"Poland";90117;TRUE;8;100139;6,50639253066137e-05;1;122956
152;"Poland";11400;FALSE;27;17104;0,00494341190526609;0,0122324159;1537956
154;"Poland";52715;TRUE;5;100154;7,77689639618621e-05;1;64293
155;"Poland";23200;FALSE;2;20921;0,0205776375689576;0,00201501184;120586
156;"Poland";11200;FALSE;23;13508;0,0124303925033436;0,00510204082;1371799
157;"Poland";10800;FALSE;6;19708;0,0175375600355069;0,00391772772;305644
160;"Poland";20400;FALSE;2;29118;0,0398780806167497;0,0010201219;122909
164;"Poland";13000;FALSE;22;16312;0,00763899951674864;0,00776699029;1230364
166;"Poland";40600;FALSE;2;47102;0,197239930179762;0,00015813339;192368
173;"Poland";68501;TRUE;10;100173;6,54167702432195e-05;1;152866
195;"Poland";12200;FALSE;11;11908;0,0142864211762809;0,00392541708;606275
197;"Poland";11400;FALSE;27;14716;0,0123358535613428;0,00490196078;1537956
207;"Poland";11400;FALSE;27;17110;0,00464106255286593;0,01302931596;1537956
208;"Poland";21000;FALSE;2;22510;0,148451543833884;0,00055043347;85666
217;"Poland";58503;TRUE;3;100217;5,26713134469863e-05;1;56957
218;"Poland";12400;FALSE;16;12931;0,00370419563253797;0,01659751037;862063
229;"Poland";42400;FALSE;6;42726;0,604635079362826;0,00012037316;357232
235;"Poland";72701;TRUE;15;100235;5,54299144162122e-05;1;270612
237;"Poland";52715;TRUE;5;100237;7,77689639618621e-05;1;64293
238;"Poland";11400;FALSE;27;17111;0,00465618002074426;0,01298701299;1537956
239;"Poland";58504;TRUE;3;100239;5,76147493758402e-05;1;52070
242;"Poland";11800;FALSE;19;18510;0,00605925435821346;0,01007556675;1015554
243;"Poland";31400;FALSE;5;30128;0,234086045792947;0,00024786065;310234
252;"Poland";63301;TRUE;8;100252;8,45594452900389e-05;1;94608
257;"Poland";10800;FALSE;6;19711;0,00386479040937807;0,01777777778;305644
269;"Poland";62706;TRUE;11;100269;7,2825979012877e-05;1;151045
271;"Poland";62707;TRUE;5;100271;4,08944432630494e-05;1;122266
272;"Poland";62705;TRUE;10;100272;6,32683145953675e-05;1;158057
273;"Poland";11600;FALSE;8;12744;0,0114565373901278;0,00516795866;422248
279;"Poland";72901;TRUE;12;100279;5,74734664163378e-05;1;208792
283;"Poland";42400;FALSE;6;42726;0,604635079362826;0,00012037316;357232
290;"Poland";62706;TRUE;11;100290;7,2825979012877e-05;1;151045
295;"Poland";68901;TRUE;5;100295;4,7252726482318e-05;1;105814
301;"Poland";42000;FALSE;2;44504;0,270470032315975;0,0002111598;105056
308;"Poland";52717;TRUE;3;100308;5,36922361026596e-05;1;55874
312;"Poland";41200;FALSE;4;42728;0,528579421519566;0,00012542724;256417
315;"Poland";10600;FALSE;18;12941;0,00676721327913302;0,00877192982;960218
317;"Poland";20200;FALSE;4;29317;0,055298710095699;0,00052652363;240417
322;"Poland";10600;FALSE;18;14320;0,00523865413862066;0,01133144476;960218
329;"Poland";32800;FALSE;3;39109;0,147738833402348;0,00043336945;140569
338;"Poland";10600;FALSE;18;14319;0,0124807595780498;0,00475624257;960218
339;"Poland";74301;TRUE;22;100339;7,25447716653312e-05;1;303261
340;"Poland";79101;TRUE;13;100340;7,29812269828438e-05;1;178128
341;"Poland";90111;TRUE;3;100341;7,03878369817695e-05;1;42621
348;"Poland";12000;FALSE;7;10514;0,004363935984203;0,01282051282;393223
359;"Poland";41400;FALSE;8;40121;0,488333730456242;0,00010366454;434586
361;"Poland";52724;TRUE;2;100361;4,43115099147003e-05;1;45135
372;"Poland";31800;FALSE;2;38515;0,21197233854846;0,00037839372;87272
373;"Poland";62708;TRUE;7;100373;5,81187781772291e-05;1;120443
