idno;cntry;demogr;regionR
2;Poland;22;62
5;Poland;23;21
6;Poland;13;12
7;Poland;23;63
15;Poland;11;41
18;Poland;13;11
24;Poland;12;61
26;Poland;21;12
45;Poland;21;21
47;Poland;13;21
48;Poland;22;21
55;Poland;12;63
56;Poland;22;62
62;Poland;21;63
67;Poland;12;22
69;Poland;23;41
78;Poland;12;41
82;Poland;23;31
86;Poland;13;22
88;Poland;23;61
89;Poland;22;21
92;Poland;11;41
101;Poland;21;21
102;Poland;21;51
106;Poland;21;62
110;Poland;11;61
113;Poland;13;43
117;Poland;12;12
119;Poland;11;22
128;Poland;23;22
139;Poland;12;12
152;Poland;21;12
154;Poland;13;22
155;Poland;13;42
156;Poland;11;21
157;Poland;12;43
160;Poland;12;61
164;Poland;13;41
166;Poland;22;31
173;Poland;23;32
195;Poland;12;63
197;Poland;23;12
207;Poland;23;12
208;Poland;23;11
217;Poland;11;32
218;Poland;13;22
229;Poland;12;22
235;Poland;12;22
237;Poland;12;22
238;Poland;13;12
239;Poland;12;32
242;Poland;21;32
243;Poland;12;12
252;Poland;22;42
257;Poland;21;43
269;Poland;23;22
271;Poland;22;22
272;Poland;13;22
273;Poland;21;52
279;Poland;13;22
283;Poland;11;22
290;Poland;21;22
295;Poland;12;51
301;Poland;11;12
308;Poland;13;52
312;Poland;13;21
315;Poland;11;31
317;Poland;21;51
322;Poland;13;31
329;Poland;21;62
338;Poland;23;31
339;Poland;12;31
340;Poland;23;61
341;Poland;22;12
348;Poland;22;34
359;Poland;12;12
361;Poland;21;22
372;Poland;12;32
373;Poland;22;22
381;Poland;23;22
385;Poland;22;51
387;Poland;22;52
396;Poland;21;12
401;Poland;11;63
402;Poland;23;51
403;Poland;22;33
407;Poland;11;61
408;Poland;21;21
416;Poland;21;12
421;Poland;22;22
425;Poland;23;31
436;Poland;23;62
464;Poland;12;12
466;Poland;12;22
470;Poland;23;22
472;Poland;21;12
473;Poland;12;51
474;Poland;12;12
486;Poland;21;42
489;Poland;21;51
493;Poland;22;62
507;Poland;11;61
509;Poland;23;63
511;Poland;11;41
513;Poland;22;11
519;Poland;23;61
524;Poland;22;43
526;Poland;23;34
530;Poland;12;12
542;Poland;13;63
544;Poland;23;63
545;Poland;11;22
552;Poland;11;11
557;Poland;23;12
567;Poland;11;42
568;Poland;23;42
574;Poland;23;32
588;Poland;22;11
602;Poland;13;11
605;Poland;22;61
612;Poland;11;32
617;Poland;13;42
620;Poland;23;12
650;Poland;11;21
655;Poland;13;33
662;Poland;13;21
663;Poland;11;22
670;Poland;11;12
679;Poland;22;11
680;Poland;23;12
695;Poland;11;21
697;Poland;22;51
700;Poland;23;12
704;Poland;21;52
707;Poland;23;22
708;Poland;11;12
717;Poland;13;31
718;Poland;22;41
736;Poland;12;34
739;Poland;13;62
741;Poland;11;11
743;Poland;23;22
746;Poland;23;22
747;Poland;11;51
753;Poland;22;22
760;Poland;11;63
762;Poland;11;51
763;Poland;21;43
764;Poland;12;62
765;Poland;23;22
769;Poland;23;42
774;Poland;11;21
776;Poland;21;33
777;Poland;11;11
793;Poland;22;31
799;Poland;21;31
