teryt;nazwa;typ;l_ludn_pow17l
0201011;Bolesławiec;gmina miejska;33085
0202011;Bielawa;gmina miejska;25909
0202021;Dzierżoniów;gmina miejska;28804
0202041;Piława Górna;gmina miejska;5470
0203011;Głogów;gmina miejska;56258
0205011;Jawor;gmina miejska;19913
0206011;Karpacz;gmina miejska;4128
0206021;Kowary;gmina miejska;9457
0206031;Piechowice;gmina miejska;5402
0206041;Szklarska Poręba;gmina miejska;5797
0207011;Kamienna Góra;gmina miejska;16501
0208011;Duszniki-Zdrój;gmina miejska;4070
0208021;Kłodzko;gmina miejska;23325
0208031;Kudowa-Zdrój;gmina miejska;8491
0208041;Nowa Ruda;gmina miejska;19392
0208051;Polanica-Zdrój;gmina miejska;5608
0209011;Chojnów;gmina miejska;11632
0210011;Lubań;gmina miejska;18234
0210021;Świeradów-Zdrój;gmina miejska;3554
0211011;Lubin;gmina miejska;61180
0214011;Oleśnica;gmina miejska;30765
0215011;Oława;gmina miejska;26983
0219011;Świdnica;gmina miejska;49267
0219021;Świebodzice;gmina miejska;19194
0221011;Boguszów-Gorce;gmina miejska;13255
0221021;Jedlina-Zdrój;gmina miejska;4127
0221031;Szczawno-Zdrój;gmina miejska;4925
0225011;Zawidów;gmina miejska;3572
0225021;Zgorzelec;gmina miejska;26791
0226011;Wojcieszów;gmina miejska;3102
0226021;Złotoryja;gmina miejska;13427
0261011;Jelenia Góra;gmina miejska;69028
0262011;Legnica;gmina miejska;84262
0264011;Wrocław;gmina miejska;536964
0265011;Wałbrzych od 2013;gmina miejska;97916
0401011;Aleksandrów Kujawski;gmina miejska;10179
0401021;Ciechocinek;gmina miejska;9018
0401031;Nieszawa;gmina miejska;1631
0402011;Brodnica;gmina miejska;23102
0404011;Chełmno;gmina miejska;16627
0405011;Golub-Dobrzyń;gmina miejska;10415
0407011;Inowrocław;gmina miejska;62478
0408011;Lipno;gmina miejska;11965
0411011;Radziejów;gmina miejska;4761
0412011;Rypin;gmina miejska;13491
0415011;Chełmża;gmina miejska;12043
0417011;Wąbrzeźno;gmina miejska;11419
0418011;Kowal;gmina miejska;3011
0461011;Bydgoszcz;gmina miejska;298468
0462011;Grudziądz;gmina miejska;79223
0463011;Toruń;gmina miejska;168901
0464011;Włocławek;gmina miejska;94487
0601011;Międzyrzec Podlaski;gmina miejska;13888
0601021;Terespol;gmina miejska;4676
0602011;Biłgoraj;gmina miejska;21524
0603011;Rejowiec Fabryczny;gmina miejska;3702
0604011;Hrubieszów;gmina miejska;15164
0606011;Krasnystaw;gmina miejska;15986
0607011;Kraśnik;gmina miejska;29645
0608011;Lubartów;gmina miejska;18283
0611011;Łuków;gmina miejska;24496
0611021;Stoczek Łukowski;gmina miejska;2121
0614011;Puławy;gmina miejska;40419
0615011;Radzyń Podlaski;gmina miejska;12969
0616011;Dęblin;gmina miejska;13872
0617011;Świdnik;gmina miejska;33385
0618011;Tomaszów Lubelski;gmina miejska;16289
0619011;Włodawa;gmina miejska;11113
0661011;Biała Podlaska;gmina miejska;47089
0662011;Chełm;gmina miejska;53900
0663011;Lublin;gmina miejska;284027
0664011;Zamość;gmina miejska;53944
0801011;Kostrzyn nad Odrą;gmina miejska;14559
0802011;Gubin;gmina miejska;13950
0804011;Nowa Sól;gmina miejska;32609
0810011;Gozdnica;gmina miejska;2719
0810021;Żagań;gmina miejska;21780
0811011;Łęknica;gmina miejska;2041
0811021;Żary;gmina miejska;31561
0861011;Gorzów Wielkopolski;gmina miejska;102660
0862011;Zielona Góra;gmina miejska;115095
1001011;Bełchatów;gmina miejska;48234
1002011;Kutno;gmina miejska;37999
1004011;Łęczyca;gmina miejska;11973
1005011;Łowicz;gmina miejska;23938
1008011;Konstantynów Łódzki;gmina miejska;15000
1008021;Pabianice;gmina miejska;56303
1012011;Radomsko;gmina miejska;39139
1013011;Rawa Mazowiecka;gmina miejska;14377
1014011;Sieradz;gmina miejska;35774
1016011;Tomaszów Mazowiecki;gmina miejska;52852
1019011;Zduńska Wola;gmina miejska;35299
1020011;Głowno;gmina miejska;12223
1020021;Ozorków;gmina miejska;16554
1020031;Zgierz;gmina miejska;47691
1021011;Brzeziny;gmina miejska;10332
1061011;Łódź;gmina miejska;595728
1062011;Piotrków Trybunalski;gmina miejska;61669
1063011;Skierniewice;gmina miejska;39490
1201011;Bochnia;gmina miejska;24194
1205011;Gorlice;gmina miejska;23294
1207011;Limanowa;gmina miejska;11983
1207021;Mszana Dolna;gmina miejska;6290
1210011;Grybów;gmina miejska;4828
1211011;Nowy Targ;gmina miejska;27383
1212011;Bukowno;gmina miejska;8813
1213011;Oświęcim;gmina miejska;32739
1215011;Jordanów;gmina miejska;4315
1215021;Sucha Beskidzka;gmina miejska;7692
1217011;Zakopane;gmina miejska;22775
1261011;Kraków;gmina miejska;641436
1262011;Nowy Sącz;gmina miejska;68259
1263011;Tarnów;gmina miejska;92793
1402011;Ciechanów;gmina miejska;36954
1403011;Garwolin;gmina miejska;13581
1403021;Łaskarzew;gmina miejska;3981
1404011;Gostynin;gmina miejska;15715
1405011;Milanówek;gmina miejska;13386
1405021;Podkowa Leśna;gmina miejska;3155
1408011;Legionowo;gmina miejska;43576
1411011;Maków Mazowiecki;gmina miejska;8124
1412011;Mińsk Mazowiecki;gmina miejska;31946
1412151;Sulejówek;gmina miejska;15855
1413011;Mława;gmina miejska;25501
1414011;Nowy Dwór Mazowiecki;gmina miejska;23147
1416011;Ostrów Mazowiecka;gmina miejska;18554
1417011;Józefów;gmina miejska;15995
1417021;Otwock;gmina miejska;36643
1420011;Płońsk;gmina miejska;18163
1420021;Raciąż;gmina miejska;3686
1421011;Piastów;gmina miejska;18750
1421021;Pruszków;gmina miejska;49280
1422011;Przasnysz;gmina miejska;13971
1425011;Pionki;gmina miejska;15946
1427011;Sierpc;gmina miejska;15077
1428011;Sochaczew;gmina miejska;30590
1429011;Sokołów Podlaski;gmina miejska;15367
1433011;Węgrów;gmina miejska;10436
1434011;Kobyłka;gmina miejska;17531
1434021;Marki;gmina miejska;24134
1434031;Ząbki;gmina miejska;26068
1434041;Zielonka;gmina miejska;14186
1438011;Żyrardów;gmina miejska;33096
1461011;Ostrołęka;gmina miejska;42790
1462011;Płock;gmina miejska;100571
1463011;Radom;gmina miejska;178192
1464011;Siedlce;gmina miejska;61967
1465011;M.st.Warszawa od 2002;gmina miejska;1452711
1601011;Brzeg;gmina miejska;30351
1603011;Kędzierzyn-Koźle;gmina miejska;52678
1661011;Opole;gmina miejska;100575
1803011;Dębica;gmina miejska;38282
1804011;Jarosław;gmina miejska;32029
1804021;Radymno;gmina miejska;4521
1805011;Jasło;gmina miejska;30172
1808011;Leżajsk;gmina miejska;11794
1809011;Lubaczów;gmina miejska;10154
1810011;Łańcut;gmina miejska;14670
1811011;Mielec;gmina miejska;50438
1814011;Przeworsk;gmina miejska;12818
1816011;Dynów;gmina miejska;5026
1817011;Sanok;gmina miejska;32138
1818011;Stalowa Wola;gmina miejska;52628
1861011;Krosno;gmina miejska;38823
1862011;Przemyśl;gmina miejska;52152
1863011;Rzeszów;gmina miejska;153685
1864011;Tarnobrzeg;gmina miejska;40095
2001011;Augustów;gmina miejska;25218
2003011;Bielsk Podlaski;gmina miejska;21670
2003021;Brańsk;gmina miejska;3114
2004011;Grajewo;gmina miejska;18336
2005011;Hajnówka;gmina miejska;17931
2006011;Kolno;gmina miejska;8779
2009011;Sejny;gmina miejska;4551
2010011;Siemiatycze;gmina miejska;12355
2013011;Wysokie Mazowieckie;gmina miejska;7631
2014011;Zambrów;gmina miejska;18434
2061011;Białystok;gmina miejska;245854
2062011;Łomża;gmina miejska;51900
2063011;Suwałki;gmina miejska;56530
2202011;Chojnice;gmina miejska;32513
2203011;Człuchów;gmina miejska;11589
2204011;Pruszcz Gdański;gmina miejska;23690
2206011;Kościerzyna;gmina miejska;18942
2207011;Kwidzyn;gmina miejska;30974
2208011;Lębork;gmina miejska;29043
2208021;Łeba;gmina miejska;3176
2209011;Malbork;gmina miejska;32108
2210011;Krynica Morska;gmina miejska;1119
2211011;Hel;gmina miejska;2885
2211021;Jastarnia;gmina miejska;3098
2211031;Puck;gmina miejska;9220
2212011;Ustka;gmina miejska;13427
2213021;Skórcz;gmina miejska;2808
2213031;Starogard Gdański;gmina miejska;38899
2214011;Tczew;gmina miejska;48832
2215011;Reda;gmina miejska;19174
2215021;Rumia;gmina miejska;38848
2215031;Wejherowo;gmina miejska;39712
2261011;Gdańsk;gmina miejska;386287
2262011;Gdynia;gmina miejska;207158
2263011;Słupsk;gmina miejska;77306
2264011;Sopot;gmina miejska;32320
2401011;Będzin;gmina miejska;48436
2401021;Czeladź;gmina miejska;27328
2401031;Wojkowice;gmina miejska;7717
2401081;Sławków;gmina miejska;5877
2402011;Szczyrk;gmina miejska;4760
2403011;Cieszyn;gmina miejska;29205
2403021;Ustroń;gmina miejska;13460
2403031;Wisła;gmina miejska;9155
2405011;Knurów;gmina miejska;31637
2405021;Pyskowice;gmina miejska;15576
2407011;Lubliniec;gmina miejska;19920
2408011;Łaziska Górne;gmina miejska;18360
2408021;Mikołów;gmina miejska;32790
2408031;Orzesze;gmina miejska;16535
2409011;Myszków;gmina miejska;26964
2411011;Racibórz;gmina miejska;46973
2413011;Kalety;gmina miejska;7324
2413021;Miasteczko Śląskie;gmina miejska;6163
2413031;Radzionków;gmina miejska;14095
2413041;Tarnowskie Góry;gmina miejska;51004
2414011;Bieruń;gmina miejska;15989
2414021;Imielin;gmina miejska;7145
2414031;Lędziny;gmina miejska;13531
2415011;Pszów;gmina miejska;11758
2415021;Radlin;gmina miejska;14571
2415031;Rydułtowy;gmina miejska;17942
2415041;Wodzisław Śląski;gmina miejska;40367
2416011;Poręba;gmina miejska;7317
2416021;Zawiercie;gmina miejska;42523
2417011;Żywiec;gmina miejska;26154
2461011;Bielsko-Biała;gmina miejska;142835
2462011;Bytom;gmina miejska;142767
2463011;Chorzów;gmina miejska;90857
2464011;Częstochowa;gmina miejska;192013
2465011;Dąbrowa Górnicza;gmina miejska;103021
2466011;Gliwice;gmina miejska;153196
2467011;Jastrzębie-Zdrój;gmina miejska;74421
2468011;Jaworzno;gmina miejska;77714
2469011;Katowice;gmina miejska;254855
2470011;Mysłowice;gmina miejska;61586
2471011;Piekary Śląskie;gmina miejska;46873
2472011;Ruda Śląska;gmina miejska;114784
2473011;Rybnik;gmina miejska;114168
2474011;Siemianowice Śląskie;gmina miejska;56969
2475011;Sosnowiec;gmina miejska;176520
2476011;Świętochłowice;gmina miejska;42186
2477011;Tychy;gmina miejska;106536
2478011;Zabrze;gmina miejska;148093
2479011;Żory;gmina miejska;50113
2607011;Ostrowiec Świętokrzyski;gmina miejska;60319
2609011;Sandomierz;gmina miejska;20288
