browar;nazwa;styl;BLG;V;gat_jedn;overall;style;IBU;weighted
Browar Cornelius;Cornelius Dunkel ; Dunkel ;15;3;Lager;14;15;30.2;2.5
Browar Goœciszewo;Darz Bór ; wêdzone ;14;6.5;Lager;82;80;27.74;3.44
Browar Perun;Sabat Czarownic ; Dunkelweizen ;13;5.5;Lager;59;91;14;3.27
Pinta;Jak w dym;Rauchbock;16.5;6.9;Lager;84;82;28;3.46
Pinta;I'm so horny!;Dunkel Coffee;18;6.7;Lager;96;100;53.68;3.69
Kompania Piwowarska;Dêbowe Mocne;Strong Lager;14.2;7;eurolager;8;41;36.73;2.4
Kompania Piwowarska;Ksi¹¿êce Czerwony Lager;Red Lager;11.6;4.9;eurolager;12;36;33.62;2.59
Kompania Piwowarska;10.5;Pale Lager;10.5;4.7;eurolager;12;91;34.88;2.51
Kompania Piwowarska;Lech Premium;Lager;11.1;5.2;eurolager;5;10;33.94;2.19
Kompania Piwowarska;Wojak Mocny;Pale Lager;14.1;7;eurolager;9;39;36.83;2.42
Kompania Piwowarska;¯ubr;Pale Lager;12;6;eurolager;7;37;34.3;2.32
Van Pur;Halne Mocne;Strong Lager;15.1;7;eurolager;4;12;35.68;1.87
Van Pur;Tesco Jasne Pe³ne;Pale Lager;12.5;4;eurolager;2;29;34.36;1.67
Heineken;Heineken;Pale Lager;11.4;5;eurolager;4;47;34.33;2.07
Carlsberg;Bosman Specjal;Strong Lager;14;6.6;eurolager;8;33;35.54;2.33
Carlsberg;Harnaœ Jasne Pe³ne;Pale Lager;11.8;6;eurolager;6;64;35.8;2.22
Carlsberg;Kasztelan Mocne;Strong Lager;14.6;6.8;eurolager;9;38;37.05;2.32
Carlsberg;Piast Mocne;Strong Lager;14.1;6.7;eurolager;7;25;37.14;2.21
Browar Cornelius;Cornelius Lichee;Fruit;13;5;inne;13;24;15;2.46
Browar Golem;Zojer ; Owsiane Berliner Weisse ;8;6.5;inne;47;24;10;3.14
Browar Podgórz;Luzy Rajtuzy ; AAA ;12.5;5.5;inne;84;97;30;3.46
Browar Sza³piw;Szczun ; tripel ;19;5.6;inne;98;99;54.495;3.8
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Piernikowy Foch ; Piernikowe ;16.5;5.6;inne;55;76;15;3.24
Pinta;Dymy Marcowe;Smoked;13.1;5;inne;69;56;22;3.33
Browar Podgórz;Burgundowy £owca ; Barley Wine ;24;5;inne;47;14;57.3;3.16
Browar Sza³piw;Buba Extreme Jack Daniels BA ; quadrupel ;32;5.5;inne;100;100;74.28;4.24
Browar Sza³piw;Fest Buba 2015 ; quadrupel ;25;11;inne;99;96;64.8;3.84
Browar Goœciszewo;Rybak ; Lager niepasteryzowany ;12.5;5.7;Lager;45;79;29.99;3.15
Browar Goœciszewo;Rycerz ; Lager ;12.5;5.9;Lager;15;37;25.07;2.67
JAN OLBRACHT BROWAR RZEMIEŒLNICZY;Korona Olbrachta ; Jasne ;12.5;5.6;Lager;23;9;22;2.83
Brokreacja;The Alchemist ; American IPA ;16;11;pale ale;90;83;85;3.54
Browar Podgórz;Siostra Bo¿enka ; AIPA ;15;4.5;pale ale;95;95;70;3.67
Browar Podgórz;Owca w Nowej Hucie ; Red AIPA ;15;6;pale ale;95;98;65.1;3.66
AleBrowar;Last Cut ; American Golden Ale ;18;4.2;pale ale;92;77;60;3.95
AleBrowar;Ortodox PAle Ale ; English PAle Ale ;12;5.6;pale ale;49;87;41.33;3.19
AleBrowar;Naked Mummy ; Pumpkin Ale ;16;6.2;pale ale;77;91;45;3.39
Brokreacja;The Blogger ; Cherry Smoked Pepper Rye Wood Aged Strong Ale ;18.5;5.83;pale ale;73;86;45;3.36
Browar Goœciszewo;Gwiazdor ; œwi¹teczne Ale ;16;5.5;pale ale;68;86;44.25;3.36
Browar Kingpin;Aficionado ; Peated Coffee & Tea Ale ;16.5;4.7;pale ale;93;95;51.19;3.61
Browar Perun;Behemoth Heretyk ; American Amber Ale ;13;5.7;pale ale;55;83;45;3.24
