nazwa;kraj;pop;perc_men;urodzenia_rocznie;Old-age dependency ratio;N;E;elev;estab;agric_seminat;lotniska;wbudowie;urban80_100;urban50_80;urban_10_30;urban30_50;urban_<10;drogi;lasy;tereny_ziel;przemysl;struktury_izolowane;nieuzytki;wydobycia_skaldowanie;porty;linie_kolejowe;sport_wypoczynek;wody;pow_calk
Amsterdam;Holandia;1033861.333;0.491315405;13393;19;52.36666;4.9;0;1306;0.366433755;0.016975845;0.011990084;0.038807897;0.050829357;0.00353527;0.017384754;0.000198177;0.05493906;0.039206253;0.03086231;0.054573588;0.003918162;0.005558487;0.001331131;0.010722439;0.005033737;0.020860049;0.266839644;117204.9658
Ateny;Grecja;2834142;0.489214725;44901.33333;25.2;38;23.716667;70;-1000;0.630697093;0.004249176;0.002065601;0.035609033;0.041207512;0.024626867;0.031403183;0.003587811;0.048541695;0.096163363;0.009192169;0.043240003;0.006684922;0.002186212;0.004798988;0.004171881;0.000979149;0.006167909;0.004427435;304223.5353
Berlin;Niemcy;3416474.333;0.488762115;33595.75;29.2;52.518611;13.408333;70;1237;0.458836134;0.001216292;0.000676043;0.004928985;0.02465555;0.005052834;0.020356726;0.000173728;0.016602966;0.381774486;0.006871491;0.03787735;0.001691338;0.000329023;0.002729734;0.000132807;0.00285014;0.008299178;0.024945194;1745574.014
Bratys³awa;S³owacja;423339.75;0.468033063;4944;22.5;48.146825;17.107239;300;907;0.460656022;0.003232747;0.00140177;0.009043443;0.031506863;0.003987157;0.008897706;0.000590073;0.016901634;0.392808771;0.003640917;0.035665737;0.001058339;0.000925723;0.001969232;0.000636897;0.002850951;0.00590688;0.01831914;204591.5346
Bruksela;Belgia;1111558.375;0.486178357;17997.42857;21.4;50.83333;4.35;70;966;0.483648907;0.008015287;0.000725217;0.019127153;0.033734934;0.083196246;0.06620446;0.019035293;0.049183736;0.121797213;0.025403611;0.053884563;0.006446935;0.003393019;0.001433241;0;0.005971859;0.01235369;0.006444638;162303.8821
Budapeszt;Wêgry;1721137.75;0.458755553;17158.125;21.7;47.5;19.05;102;106;0.415257559;0.006714098;0.007048792;0.058953595;0.100444463;0.005959845;0.023962031;0.000151153;0.032318927;0.226458097;0.015009953;0.055062417;0.001351528;0.003528776;0.005656193;0.000633115;0.004811155;0.01119254;0.025485762;252177.7472
Bukareszt;Rumunia;2068304.625;0.46702429;18307.75;20.9;44.416667;26.1;75;1459;0.575921527;0.008722395;0.006228456;0.123486563;0.024089399;1.87E-05;0.000278142;0;0.021037212;0.104820247;0.012355563;0.080618794;0.001426911;0.004757861;0.002558442;0;0.006235287;0.004230434;0.023214059;107361.6538
Dublin;Irlandia;1269440;0.484696402;21803;17.1;53.333333;-6.25;0;1028;0.758560074;0.001393962;0.00195353;0.001528201;0.022347441;0.008981224;0.021055799;0.000243989;0.017157909;0.087126552;0.008007699;0.023379116;0.014036322;0.00137744;0.005626148;0.00048053;0.000835221;0.018033705;0.007875139;701555.1298
Helsinki;Finlandia;1062525.111;0.469465022;12950.2;22;60.16666;24.933333;25;1550;0.259676851;0.00447642;0.00249771;0.002271571;0.006492014;0.028267914;0.013711376;0.029713287;0.028957348;0.500748212;0.013011054;0.028781504;0.017834565;0.000521974;0.0062973;0.001130376;0.001998676;0.011345801;0.042266047;311013.2219
Kopenhaga;Dania;549344;0.494348411;9149.666667;14.8;55.666667;12.566667;12;1167;0.483701915;0.005799576;0.002743933;0.010244649;0.079193446;0.020117478;0.03493599;0.000651696;0.032141955;0.143562585;0.020958767;0.045717374;0.011614674;0.002111561;0.004139535;0.003321382;0.003077364;0.020435327;0.075530792;300195.7817
