nazwa;spec;alien;wdensity;lai;canopy_height;leaf_dmc;leaf_mass;leaf_size;seed_mass;pochodzenie;iglasty;shade_tolerance;drought_tolerance;waterlogging_tolerance;disturbance_index
jod³a;Abies alba;rodzimy;0.353;6.866666667;50;319.3;5.395;41.25;79.2;Europe;iglasty;4.6;1.81;1.02;-1.991
klon polny;Acer campestre;rodzimy;0.525;4.186774189;13.42142857;360.5;184.2079463;4741.5;54.34828235;Europe;lisciasty;3.18;2.93;1.89;-1.912
klon jes.;Acer negundo;obcy;0.416;4.781608567;11.5;300.3511155;179.5525767;3705.141772;41.211;North America;lisciasty;3.47;3.03;2.75;-1.525
klon zw.;Acer platanoides;rodzimy;0.5165;5.305483056;26.25;274;144.1443904;5193.766667;100.828;Europe;lisciasty;4.2;2.73;1.46;-1.963
jawor;Acer pseudoplatanus;rodzimy;0.509;5.107080287;27.33333333;262.5;133.7771465;8365.175;69.2004;Europe;lisciasty;3.73;2.75;1.1;-1.969
klon srebrzysty;Acer saccharinum;rodzimy;0.44;4.866952567;40;275.1050559;124.4833353;2703.401775;39.14;North America;lisciasty;3.6;2.88;3.37;-1.08786
kasztanowiec;Aesculus hippocastanum;obcy;0.5;4.707527173;20;251.5;176.5232646;6528.7;7708.65;Europe;lisciasty;3.43;2.82;1.39;-1.41982
olsza cz.;Alnus glutinosa;rodzimy;0.419666667;5.341666667;14.33333333;248;139.335789;3462.95;2.3111;Europe;lisciasty;2.71;2.22;3.9;-1.852
olsza sz.;Alnus incana;rodzimy;0.439;2.773333333;14;213.84;91.47;2723.31;0.55;Europe;lisciasty;2.3;1.89;2.84;-1.859
brzoza br.;Betula pendula;rodzimy;0.5125;3.110882353;27;273;120.5541376;1181.1;0.188353846;Europe;lisciasty;2.03;1.85;1.67;-1.879
brzoza om.;Betula pubescens;rodzimy;0.525;2.83;25;291.440775;123.2480032;2152.818009;0.219966667;Europe;lisciasty;1.85;1.27;2.98;-1.92
grab;Carpinus betulus;rodzimy;0.693;8.73;17.875;258.685;62.93;2268.52;41.81531429;Europe;lisciasty;3.97;2.66;1.65;0
orzesznik;Carya ovata;obcy;0.64;4.765867219;25.29892381;272.2314774;181.2026576;5503.10808;2524.277579;North America;lisciasty;3.4;3;1.38;-1.2937025
kasztan jadalny;Castanea sativa;obcy;0.463333333;4.874;30;265.3333333;178.1637648;7259.433333;2891.920805;Europe;lisciasty;3.15;3.46;1.32;-1.43237
